他感冒了。|He caught a cold.|tā gǎn mào le。
他觉得很难说出自己的感受.|He finds it hard to say what he feels.|tā jué de hěn nàn shuō chū zì jǐ de gǎn shòu.
我一点都不理会他们的感受.|I don't care a jot for their feelings.|wǒ yī diǎn dōu bù lǐ kuài tā men de gǎn shòu.
他照大小顺序排列这些书。|He ranged the books according to size.|tā zhào dà xiǎo shùn xù pái liè zhè xie shū。
沿海鱼的数量已减少了.|The number of fish in coastal waters has decreased.|yán hǎi yú de shù liàng yǐ jiǎn shǎo le.
人们穿著古装参加游行.|People wore historical costumes for the parade.|rén men chuān著 gǔ zhuāng cān jiā yóu xíng.
线路上有短路需要换线.|The wiring is faulty and needs to be replaced.|xiàn lù shàng yǒu duǎn lù xū yào huàn xiàn.
有勇气做某事，有胆量做某事|Have the nerve for [to do]sth.|yǒu yǒng qì zuò mǒu shì， yǒu dǎn liàng zuò mǒu shì
他的行为招致尖锐的批评。|His behavior called forth sharp criticism.|tā de xíng wéi zhāo zhì jiān ruì de pī píng。
这份工作主要是行政性的。|This job is mainly administrative.|zhè fèn gōng zuò zhǔ yào shì xíng zhèng xìng de。
他对任何打扰都感到不耐烦。|He was impatient of any interruption.|tā duì rèn hé dǎ rǎo dōu gǎn dào bù nài fán。
我们得跑著去, 要不就太晚了.|We must run, otherwise we'll be too late.|wǒ men de pǎo著 qù,  yào bu jiù tài wǎn le.
她不把我们的警告放在心上。|She paid no heed to our warnings.|tā bù bǎ wǒ men de jǐng gào fàng zài xīn shàng。
排演话剧的过程很复杂.|The mechanics of staging a play are very complicated.|pǎi yǎn huà jù de guò chéng hěn fù zá.
她用步子测量了房间的长度.|She paced out the length of the room.|tā yòng bù zi cè liàng le fáng jiān de cháng dù.
从长远看, 物价肯定要涨.|In the long run pricesare bound to rise.|zòng cháng yuǎn kàn,  wù jià kěn dìng yào zhàng.
天气预报是一门模糊的科学.|Weather forecasting is an inexact science.|tiān qì yù bào shì yī mén mó hu de kē xué.
这是认识过程的一次飞跃。|It is a leap in the process of cognition.|zhè shì rèn shi guò chéng de yī cì fēi yuè。
我不在乎你们会说我什么。|I do not care what you will say about me.|wǒ bù zài hū nǐ men kuài shuō wǒ shén me。
光线太暗，我看书有困难。|The light was too dim for me to read easily.|guāng xiàn tài àn， wǒ kàn shū yǒu kùn nan。
今年夏季农作物成熟得早.|The summer crops were forward this year.|jīn nián xià jì nóng zuò wù chéng shú de zǎo.
评委会即将宣布优胜者.|The jury is/are about to announce the winners.|píng wěi kuài jí jiāng xuān bù yōu shèng zhě.
她受委托负责这项计划.|She was entrusted with the direction of the project.|tā shòu wěi tuō fù zé zhè xiàng jì huà.
无实质的，无价值的，无根据的|Lacking substance, value, or basis.|wú shí zhì de， wú jià zhí de， wú gēn jù de
我们已经订阅了一份晚报。|We have subscribed to an evening newspaper.|wǒ men yǐ jīng dìng yuè le yī fèn wǎn bào。
她歌唱得象小鸟一样快乐。|She sing as merrily as a little bird.|tā gē chàng de xiàng xiǎo niǎo yí yàng kuài lè。
我预定了到北京的直达车票。|I booked a ticket through to Peking.|wǒ yù dìng le dào Běi jīng de zhí dá jū piào。
她的裙子有非常精致的花边。|Her skirt has very exquisite lace.|tā de qún zi yǒu fēi cháng jīng zhì de huā biān。
她的婚姻不能自主.|She is not free to follow her own inclination in the matter ofmarriage.|tā de hūn yīn bù néng zì zhǔ.
网球俱乐部组织了一次舞会。|The tennis club has organized a dance.|wǎng qiú jù yuè bù zǔ zhī le yī cì wǔ huì。
他们到酒店喝了一品脱的啤酒.|They stopped at the pub for a pint.|tā men dào jiǔ diàn hè le yī pǐn tuō de pí jiǔ.
校园内严禁吸烟。|The prohibition against smoking on school grounds is strictly enforced.|xiào yuán nèi yán jìn xī yān。
有两座新房子正在修建。|There are two new houses under construction.|yǒu liǎng zuò xīn fáng zi zhèng zài xiū jiàn。
他们紧急请求国际援助。|They've made an urgent request for international aid.|tā men jǐn jí qǐng qiú guó jì yuán zhù。
护士抽了我的血样去化验。|The nurse took a sample of my blood for tests.|hù shi chōu le wǒ de xuè yàng qù huà yàn。
她把钱均分给两个孩子.|She portioned out the money equally between both children.|tā bǎ qián jūn fēn jǐ liǎng gè hái zi.
这场演出正在进行实况转播.|This show is going out live.|zhè chǎng yǎn chū zhèng zài jìn xíng shí kuàng zhuǎn bō.
这可以说是一个战术的错误。|One may call it a mistake in tactics.|zhè kě yǐ shuō shì yī gè zhàn shù de cuò wù。
他为我们树立了一个好榜样。|He set up a fine example to all of us.|tā wèi wǒ men shù lì le yī gè hào bǎng yàng。
昨天他清除了门前的垃圾。|He cleared away the rubbish at door yesterday.|zuó tiān tā qīng chú le mén qián de垃圾。
恐龙已绝种几百万年了。|Dinosaurs have been extinct for millions of years.|kǒng lóng yǐ jué zhòng jǐ bǎi Wàn nián le。
从投资的角度来考虑那件事.|Think of it in terms of an investment.|zòng tóu zī de jiǎo dù lái kǎo lu:4 nà jiàn shì.
她把我拉到一旁，对我耳语。|She drew me aside and whispered in my ear.|tā bǎ wǒ lā dào yī páng， duì wǒ ěr yǔ。
我们的经理对我们要求很严格。|Our manager is very strict with us.|wǒ men de jīng lǐ duì wǒ men yāo qiú hěn yán gé。
老师对他的学生非常严格。|The teacher is very strict with his students.|lǎo shī duì tā de xué sheng fēi cháng yán gé。
那个典礼有点像洗礼仪式.|The ceremony was something like a christening.|nèi gè diǎn lǐ yǒu diǎn xiàng xǐ lǐ yí shì.
他不是军官而是普通士兵。|He's not an officer, but a common soldier.|tā bú shì jūn guān ér shì pǔ tōng shì bīng。
他时常带我妹妹去剧院。|He takes my sister out to the theatre now and then.|tā shí cháng dài wǒ mèi mei qù jù yuàn。
小猫喝了牛奶，又洗了脸。|The little cat drank its milk and washed its face.|xiǎo māo hè le niú nǎi， yòu xǐ le liǎn。
大家的反应如何难以估计。|It was difficult to gauge how people would respond.|dà jiā de fǎn yìng rú hé nán yǐ gū jì。
这机器一触即可停止或开动.|The machine stops and starts at a touch.|zhè jī qì yī chù jí kě tíng zhǐ huò kāi dòng.
我无论如何也不卖那幅画.|I wouldn't sell that picture for all the world.|wǒ wú lùn rú hé yě bù mài nà fú huà.
这台机器把麦子磨成面粉。|This machine crushes wheat grain to make flour.|zhè tái jī qì bǎ mài zi mò chéng miàn fěn。
政府正在重新检讨形势。|The government is reviewing the situation.|zhèng fǔ zhèng zài chóng xīn jiǎn tǎo xíng shì。
站在他旁的是一位劳动模范。|Standing by him was a model worker.|zhàn zài tā páng de shì yī wèi láo dòng mó fàn。
那孩子正经历困难的阶段。|The child is going through a difficult phase.|nà hái zi zhèng jing lì kùn nan de jiē duàn。
一丝笑容使她脸上平添了生气.|A smile animated her face.|yī sī xiào róng shǐ tā liǎn shàng píng tiān le shēng qì.
这台机器把麦子磨成面粉。|This machine crushes wheat grain to make flour.|zhè tái jī qì bǎ mài zi mò chéng miàn fěn。
她把山羊毛纺成毛线.|She spins goat's hair into wool/spins wool from goat's hair.|tā bǎ shān yáng máo fǎng chéng máo xiàn.
你需用快刀才能把结切断.|You need a sharp knife to cut through the knot.|nǐ xū yòng kuài dāo cái néng bǎ jié qiē duàn.
某些植物具有药物效用.|Certain plants have medicinal (ie healing) properties.|mǒu xiē zhí wù jù yǒu yào wù xiào yòng.
一个新规则很快就要出台了。|A new rule will soon come into being.|yī gè xīn guī zé hěn kuài jiù yào chū tái le。
我快跑为的是要赶上火车。|I run fast so that I may catch the train.|wǒ kuài pǎo wèi de shì yào gǎn shàng huǒ chē。
他的言语伤害了读者的感情。|His words hurt the reader's sensibility.|tā de yán yǔ shāng hài le dú zhě de gǎn qíng。
我们吵架时她总是占上风.|She always gets the better of our quarrels.|wǒ men chǎo jià shí tā zǒng shì zhàn shàng fēng.
子弹击中他时他疼得哼了出来。|He grunted as the bullet hit him.|zǐ dàn jī zhòng tā shí tā téng de hng le chū lai。
他在布告板上贴了一张公告。|He posted a bulletin on the board.|tā zài bù gào bǎn shàng tiē le yī zhāng gōng gào。
这出新戏获得了巨大的成功。|The new play was a spectacular success.|zhè chū xīn xì huò dé le jù dà de chéng gōng。
这种洗衣机是最新型产品。|This washing machine is the latest model.|zhè zhǒng xǐ yì jī shì zuì xīn xíng chǎn pǐn。
我只在特殊场合穿高跟鞋。|I only wear high heels on special occasions.|wǒ zhǐ zài tè shū chǎng hé chuān gāo gēn xié。
我的秘书真是个难能可贵的人。|My secretary is an absolute gem.|wǒ de mì shū zhēn shì gè nàn néng kě guì de rén。
美国是一个充满竞争的社会。|America is a competitive society.|Měi guó shì yī gè chōng mǎn jìng zhēng de shè huì。
罐子掉在地板上摔了个粉碎.|The pot shattered as it hit the floor.|guàn zi diào zài dì bǎn shàng shuāi le gè fěn suì.
这台机器由二十个零件组成。|This engine is made up of 20 parts.|zhè tái jī qì yóu èr shí gè líng jiàn zǔ chéng。
这种理论与已知事实不符。|This theory is at variance with the known facts.|zhè zhǒng lǐ lùn yù yǐ zhī shì shí bù fú。
他写了一首诗赞扬她的美丽。|He wrote a poem praising her loveliness.|tā xiě le yī shǒu shī zàn yáng tā de měi lì。
工人们正去除银中的杂质。|Workers are removing impurities from silver.|gōng rén men zhèng qù chú yín zhòng dì zá zhì。
县城离这有百儿八十里。|The county town is a hundred li or so away from here.|xiàn chéng lí zhè yǒu bǎi er bā shí lǐ。
医院进口了一些外科器械。|The hospital imported some surgical instruments.|yī yuàn jìn kǒu le yī xiē wài kē qì xiè。
多看电视会使你的头脑退化。|Too much television rots your brain.|duō kàn diàn shì kuài shǐ nǐ de tóu nǎo tuì huà。
现在这里居民的生活很幸福。|Dwellers here live a happy life now.|xiàn zài zhè lǐ jū mín de shēng huó hěn xìng fú。
医生做手势要我脱去外套。|The doctor gestured me to take off my coat.|yī shēng zuò shǒu shì yào wǒ tuō qù wài tào。
我们被美丽的景色迷住了。|The beauty of the scene filled us with enchantment.|wǒ men bèi měi lì de jǐng sè mí zhù le。
那个球被充满了气体混合物。|The ball is filled with gaseous mixture.|nèi gè qiú bèi chōng mǎn le qì tǐ hùn hé wù。
我不熟悉这种类型的计算机.|I'm unfamiliar with this type of computer.|wǒ bù shú xī zhè zhǒng lèi xíng de jì suàn jī.
那话剧演了两个星期就停演了.|The play folded within a fortnight.|nà huà jù yǎn le liǎng gè xīng qī jiù tíng yǎn le.
要我承认错了，是很费力的。|It was painful to admit that I was wrong.|yào wǒ chéng rèn cuò le， shì hěn fèi lì de。
他的举止一向十分端庄体面。|He always acted with great dignity.|tā de jǔ zhǐ yí xiàng shí fēn duān zhuāng tǐ miàn。
信号响时，人人脱帽致敬。|Everyone uncovered when the signal sounded.|xìn hào xiǎng shí， rén rén tuō mào zhì jìng。
我用功，免得考不及格。|I study hard, so that I may not fail in the examinations.|wǒ yòng gōng， miǎn de kǎo bù jí gé。
学生们接受老师的劝告。|The students take the admonition from their teacher.|xué sheng men jiē shòu lǎo shī de quàn gào。
这不但合法，而且非常普遍。|Not only is it legal, it's very popular.|zhè bù dàn hé fǎ， ér qiě fēi cháng pǔ biàn。
熊猫被全世界的人们喜爱。|Pandas are loved by people all over the world.|xióng māo bèi quán shì jiè de rén men xǐ ài。
这两种估计差别很小.|There's only a marginal difference between the two estimates.|zhè liǎng zhòng gū jì chā bié hěn xiǎo.
开办这样的公司有点冒险.|Setting up this business was a bit of a gamble.|kāi bàn zhè yàng de gōng sī yǒu diǎn mào xiǎn.
他们争吵到打架的程度。|They argued to the point of fighting with each other.|tā men zhēng chǎo dào dǎ jià de chéng dù。
我们与本地人的交往有限。|We had only limited communion with the natives.|wǒ men yù běn dì rén de jiāo wǎng yǒu xiàn。
这条裙子的款式正当时令。|The style of this skirt is just in season.|zhè tiáo qún zi de kuǎn shì zhèng dāng shí lìng。
她把山羊毛纺成毛线.|She spins goat's hair into wool/spins wool from goat's hair.|tā bǎ shān yáng máo fǎng chéng máo xiàn.
你洗个冷水澡, 马上就清醒了.|A cold shower will soon wake you up.|nǐ xǐ gè lěng shuǐ zǎo,  mǎ shàng jiù qīng xǐng le.
没有一个人可以不呼吸而生存。|No one can live without breathing.|méi yǒu yī gè rén kě yǐ bù hū xī ér shēng cún。
她多才多艺, 能歌善舞.|Dancing and singing were among her many accomplishments.|tā duō cái duō yì,  néng gē shàn wǔ.
女王英明地统治着她的王国。|The queen ruled her kingdom wisely.|nu:3 wáng yīng míng de tǒng zhì zhuó tā de wáng guó。
他似乎有可能黄昏前到达.|It seems probable that he will arrive before dusk.|tā sì hu yǒu kě néng huáng hūn qián dào dá.
它不会伤害你，但是农药会。|It won't hurt you, but chemicals will.|tā bù huì shāng hài nǐ， dàn shì nóng yào kuài。
似乎什么事也没发生过似的。|It seems as if he had been working for hours.|sì hu shén me shì yě mò fā shēng guò sì de。
全国就业人数按月公布.|The national employment figures are published every month.|quán guó jiù yè rén shù àn yuè gōng bù.
它不会伤害你，但是农药会。|It won't hurt you, but chemicals will.|tā bù huì shāng hài nǐ， dàn shì nóng yào kuài。
他们被禁止穿越占领区.|They were denied passage through the occupied territory.|tā men bèi jìn zhǐ chuān yuè zhàn lǐng qū.
我只在特殊场合穿高跟鞋。|I only wear high heels on special occasions.|wǒ zhǐ zài tè shū chǎng hé chuān gāo gēn xié。
我们总是不断寻找新的天才.|We're always looking for new/fresh talent.|wǒ men zǒng shì bù duàn xún zhǎo xīn de tiān cái.
布告贴得太高--谁也没法看.|The notice is placed too high nobody can read it.|bù gào tiē de tài gāo-- shéi yě méi fǎ kàn.
微小者微小的或小型的人或物体|A very small person or thing.|wēi xiǎo zhě wēi xiǎo de huò xiǎo xíng de rén huò wù tǐ
他意识到黑手党要来报复他。|He thinks the Mafia are out to get him.|tā yì shí dào hēi shǒu dǎng yào lái bào fù tā。
如果你努力工作，你就会成功。|If you work hard you will succeed.|rú guǒ nǐ nǔ lì gōng zuò， nǐ jiù kuài chéng gōng。
我们可暂时担当这项工作。|We could undertake the work for the time being.|wǒ men kě zàn shí dàn dàng zhè xiàng gōng zuò。
太阳能是一种新型能源。|Solar energy is a new kind of source of energy.|tài yáng néng shì yī zhòng xīn xíng néng yuán。
相对来说, 这事并不重要.|Relatively speaking, this matter is unimportant.|xiāng duì lái shuō,  zhè shì bìng bù zhòng yào.
医生给我开了个止痛药方.|The doctor gave me a prescription for pain-killers.|yī shēng jǐ wǒ kāi le gè zhǐ tòng yào fāng.
大群的观众到场观看比赛。|A vast crowd turned out to watch the match.|dà qún de guān zhòng dào chǎng guān kàn bǐ sài。
他的评论把她气得火冒三丈。|She was seething with rage at his remarks.|tā de píng lùn bǎ tā qì de huǒ mào sān zhàng。
请向您母亲转达我的祝愿。|Please convey my good wishes to your mother.|qǐng xiàng nín mǔ qīn zhuǎn dá wǒ de zhù yuàn。
全村的人都出来欢迎教皇.|The whole village turned out to welcome the pope.|quán cūn de rén dōu chū lai huān yíng jiào huáng.
我毫不在乎他们对我怎么说。|I cared nothing about what they said of me.|wǒ háo bú zài hu tā men duì wǒ zěn me shuō。
今年国庆节刚好是星期日。|National Day falls on a Sunday this year.|jīn nián guó qìng jié gāng hǎo shì xīng qī rì。
我太粗心大意, 使他很生气.|He got very annoyed with me about my carelessness.|wǒ tài cū xīn dà yì,  shǐ tā hěn shēng qì.
电话在底楼的小书房里。|The telephone was in the little study on the ground floor.|diàn huà zài dǐ lóu de xiǎo shū fáng lǐ。
我尽量去拜访每一位女士。|I was all for calling on each of these ladies.|wǒ jìn liàng qù bài fǎng měi yī wèi nu:3 shì。
农民们在愉快地收割庄稼。|The peasants are getting in the crops happily.|nóng mín men zài yú kuài de shōu gē zhuāng jia。
此剧系由一部小说改编而成。|The play has been adapted from a novel.|cǐ jù xì yóu yī bù xiǎo shuō gǎi biān ér chéng。
现今，移动电话非常普及。|Portable telephones are very popular nowadays.|xiàn jīn， yí dòng diàn huà fēi cháng pǔ jí。
首都在这个国家的最南端。|The capital is in the extreme south of the country.|shǒu dū zài zhè gè guó jiā de zuì nán duān。
大多数国家使用十进制货币。|Most countries have a decimal currency.|dà duō shù guó jiā shǐ yòng shí jìn zhì huò bì。
这化石可能超过二百万年了.|This fossil may be over 2 million years old.|zhè huà shí kě néng chāo guò èr bǎi Wàn nián le.
我父母向来不赞成深夜外出.|My parents always frown on late nights out.|wǒ fù mǔ xiàng lái bù zàn chéng shēn yè wài chū.
下的处于下方的或向下生长的|Located beneath or directed downward.|xià de chǔ yú xià fāng de huò xiàng xià shēng zhǎng de
影片的女主角是一位老妇人。|The heroine of the film is an aged woman.|yǐng piàn de nu:3 zhǔ jué shì yī wèi lǎo fù rén。
我对在那儿见到他感到很惊奇。|I was surprised at seeing him there.|wǒ duì zài nà r xiàn dào tā gǎn dào hěn jīng qí。
指引物，指针用来作向导的事物|Something that serves to guide.|zhǐ yǐn wù， zhǐ zhēn yòng lái zuò xiàng dǎo de shì wù
路线沿途的标志都十分清楚.|The markings along the route are quite plain.|lù xiàn yán tú de biāo zhì dōu shí fēn qīng chu.
她指导实习护士练习注射.|She instructed the trainee nurses in giving injections.|tā zhǐ dǎo shí xí hù shi liàn xí zhù shè.
他们非常盼望再次见到他。|They looked forward very much to seeing him again.|tā men fēi cháng pàn wàng zài cì xiàn dào tā。
等到激动情绪平静下来再说.|Wait until all the excitementhas settled.|děng dào jī dòng qíng xù píng jìng xia lai zài shuō.
你翻翻身, 就容易睡著了.|If you turn over you might find it easier to get to sleep.|nǐ fān fān shēn,  jiù róng yì shuì著 le.
她对保健食品极为讲究了.|She started to become/wax lyrical about health food.|tā duì bǎo jiàn shí pǐn jí wéi jiǎng jiù le.
小船稳稳地顺著运河突突地航行.|The boat chugged along the canal.|xiǎo chuán wěn wěn de shùn著 yùn hé tū tū de háng xíng.
请来了专家担当政府顾问.|Experts were brought in to advise the Government.|qǐng lái le zhuān jiā dàn dàng zhèng fǔ gù wèn.
她头上带着一块黄色的头巾。|She wore on her head a yellow kerchief.|tā tou shàng dài zhuó yī kuài huáng sè de tóu jīn。
但它不想某些酒那样上头。|But it do not go to the head as some drinks do.|dàn tā bù xiǎng mǒu xiē jiǔ nà yàng shàng tou。
此段河流严禁外人捕鱼.|The fishing in this stretch of the river is strictly preserved.|cǐ duàn hé liú yán jìn wài rén bǔ yú.
我相信他天生是要当军人的。|I believe he is meant to be a soldier.|wǒ xiāng xìn tā tiān shēng shì yào dàng jūn rén de。
大卫的家离环球剧院很近。|David's house is quite close to the Global Theater.|Dà wèi de jiā lí huán qiú jù yuàn hěn jìn。
这只是玩具枪, 不能发射子弹.|This is just a toy gun: it doesn't shoot.|zhè zhǐ shì wán jù qiāng,  bù néng fā shè zǐ dàn.
把学生召集到学校的礼堂里.|Summon the pupils together in the school hall.|bǎ xué sheng zhào jí dào xué xiào de lǐ táng lǐ.
她傲慢无礼, 大大地触怒了法官.|Her insolence greatly displeased the judge.|tā ào màn wú lǐ,  dà dà de chù nù le fǎ guān.
很多人等待着买新房屋。|There's a long queue of people waiting for new houses.|hěn duō rén děng dài zhuó mǎi xīn fáng wū。
他在做些无利可图的投机生意。|He makes some unprofitable speculations.|tā zài zuò xiē wú lì kě tú de tóu jī shēng yi。
面团在冷空气中慢慢收缩了.|The dough shrank slowly in the cold air.|miàn tuán zài lěng kōng qì zhòng màn màn shōu suō le.
两块田之间有一条树木带。|A belt of trees grew between the two fields.|liǎng kuài tián zhī jiān yǒu yī tiáo shù mù dài。
油田里有一口油井发生井喷。|An oil well blew out in the oil field.|yóu tián lǐ yǒu yī kǒu yóu jǐng fā shēng jǐng pèn。
有一个离奇的故事一直流传着。|A strange story has been going round.|yǒu yī gè lí qí de gù shì yī zhí liú chuán zhuó。
集会解散了, 我独自一人离去。|The party is dissolved, and I go forth alone.|jí huì jiě sàn le,  wǒ dú zì yī rén lí qù。
国王拒绝评论选举的结果。|The king refuses to comment on the election results.|guó wáng jù jué píng lùn xuǎn jǔ de jié guǒ。
该项目因缺乏资金而告吹.|The project foundered as a result of lack of finance.|gāi xiàng mù yīn quē fá zī jīn ér gào chuī.
据天气预报报道, 明天晴.|Tomorrow is going to be fine according to the forecast.|jù tiān qì yù bào bào dào,  míng tiān qíng.
我们的木材供应证明是不够的。|Our wood supply proved insufficient.|wǒ men de mù cái gōng yìng zhèng míng shì bù gòu de。
所有乘客都必须出示车票。|All passengers are required to show their tickets.|suǒ yǒu chéng kè dōu bì xū chū shì jū piào。
他们的友谊跟以往一样亲密。|Their friendship was as close as ever it had been.|tā men de yǒu yì gēn yǐ wǎng yí yàng qīn mì。
你肯光临使我们感到无比荣幸.|You do us a great honour by attending.|nǐ kěn guāng lín shǐ wǒ men gǎn dào wú bǐ róng xìng.
分散兵力是导致失败的原因。|Dispersion of forces led up to the defeat.|fēn sàn bīng lì shì dǎo zhì shī bài de yuán yīn。
这项宣布引起了剧烈的内乱.|The announcement led to violent civil disorders.|zhè xiàng xuān bù yǐn qǐ le jù liè de nèi luàn.
我们给她些压力她就会讲出来。|She'll sing if we put the pressure on.|wǒ men jǐ tā xiē yā lì tā jiù kuài jiǎng chū lai。
他们使用紫外线灯杀死害虫。|They use ultraviolet lamp to kill pests.|tā men shǐ yòng zǐ wài xiàn dēng shā sǐ hài chóng。
他打开了门，招手让我进去。|He opened the door and motioned me to come in.|tā dǎ kāi le mén， zhāo shǒu ràng wǒ jìn qù。
他们的厨房尽是最新式的器具.|Their kitchen is full of the latest gadgets.|tā men de chú fáng jìn shì zuì xīn shì de qì jù.
我决不会有意伤害你的感情.|I would never intentionally hurt your feelings.|wǒ jué bù kuài yǒu yì shāng hài nǐ de gǎn qíng.
那些儿童分成小组做游戏.|The children were separated into groups for the game.|nà xiē ér tóng fèn chéng xiǎo zǔ zuò yóu xì.
马感觉到了危险，于是停了下来。|The horse sensed danger and stopped.|mǎ gǎn jué dào le wēi xiǎn， yú shì tíng le xia lai。
现在选修理科的学生少了.|Fewer students are opting for science courses nowadays.|xiàn zài xuǎn xiū lǐ kē de xué sheng shào le.
我们的样品是通过邮包寄送的。|By parcel post our samples were sent.|wǒ men de yàng pǐn shì tōng guò yóu bāo jì sòng de。
目光远大的人便也心胸开阔。|Those who take long views are broad-minded.|mù guāng yuǎn dà de rén pián yě xīn xiōng kāi kuò。
他跑得飞快，足以抓住那小偷。|He ran fast enough to catch the thief.|tā pǎo de fēi kuài， zú yǐ zhuā zhù nà xiǎo tōu。
他讲的话是有意鼓动群众的.|His speech was calculated to stir up the crowd.|tā jiǎng de huà shì yǒu yì gǔ dòng qún zhòng de.
我将对后果承担全部责任。|I'll bear full responsibility for the consequences.|wǒ jiàng duì hòu guǒ chéng dān quán bù zé rèn。
他那副样子可谓是苦难的典型。|He looked the personification of misery.|tā nà fù yàng zi kě wèi shì kǔ nàn de diǎn xíng。
他们编了一个找到宝石的故事.|They pitched a yarn about finding the jewels.|tā men biān le yī gè zhǎo dào bǎo shí de gù shì.
他一块一块地装配飞机模型。|He assembled the model aircraft bit by bit.|tā yī kuài yī kuài de zhuāng pèi fēi jī mó xíng。
液体表面渐渐地结了一层皮.|The surface of the liquid gradually crusted over.|yè tǐ biǎo miàn jiàn jiàn de jié le yī céng pí.
他的破产和他的妻子很有关系。|His wife had much to do with his bankruptcy.|tā de pò chǎn huò tā de qī zi hěn yǒu guān xi。
他很自私, 不想把汽车借给我.|He's too selfish to think of lending me his car.|tā hěn zì sī,  bù xiǎng bǎ qì chē jiè jǐ wǒ.
他的个性体现在他的文章中。|His personality comes through in his writing.|tā de gè xìng tǐ xiàn zài tā de wén zhāng zhòng。
我是表兄弟姐妹中年龄最大的。|I am the eldest among my cousins.|wǒ shì biǎo xiōng dì jiě mèi zhōng nián líng zuì dà de。
你的拒绝让我感到十分为难。|Your refusal puts me in an awkward predicament.|nǐ de jù jué ràng wǒ gǎn dào shí fēn wéi nán。
他的建议被认为是切实可行的。|His proposal is thought of as practical.|tā de jiàn yì bèi rèn wéi shì qiè shí kě xíng de。
他叫秘书把文件复制一份。|He asked his secretary to make a copy of the document.|tā jiào mì shū bǎ wén jiàn fù zhì yī fèn。
她丈夫一死她受到沉重的打击.|She took a bad knock when her husband died.|tā zhàng fu yī sǐ tā shòu dào chén zhòng de dǎ jī.
他正在尽力弄明白他的意思。|He is trying his best to understand his meaning.|tā zhèng zài jìn lì nòng míng bai tā de yì si。
夹叉射击按这种方式射出的炮弹|The shells fired in such a manner.|jiá chǎ shè jī àn zhè zhǒng fāng shì shè chū de pào dàn
国王拒绝评论选举的结果。|The king refuses to comment on the election results.|guó wáng jù jué píng lùn xuǎn jǔ de jié guǒ。
那会议自始至终十分无聊.|The meeting was one big yawn from start to finish.|nà huì yì zì shǐ zhì zhōng shí fēn wú liáo.
他只不过是照背讲义而已.|He's simply regurgitating stuff remembered from lectures.|tā zhǐ bù guò shì zhào bèi jiǎng yì ér yǐ.
他的批评者多，而赞美者少。|His critics are many and his admirers (are) few.|tā de pī píng zhě duō， ér zàn měi zhě shào。
学生们每天轮流打扫教室。|The students clean the classroom everyday in turn.|xué sheng men měi tiān lún liú dǎ sǎo jiào shì。
他抢走我手中的提包就跑了.|He just grabbed the bag from my hand and ran off.|tā qiǎng zǒu wǒ shǒu zhòng dì tí bāo jiù pǎo le.
目光远大的人便也心胸开阔。|Those who take long views are broad-minded.|mù guāng yuǎn dà de rén pián yě xīn xiōng kāi kuò。
艺术家巧妙地捕捉住她的笑容.|The artist has caught her smile perfectly.|yì shù jiā qiǎo miào de bǔ zhuō zhù tā de xiào róng.
他跌倒时,头碰到箱子的一角。|He fell and hit his head on the corner of a box.|tā diē dào shí, tou pèng dào xiāng zǐ de yī jué。
我太粗心大意, 使他很生气.|He got very annoyed with me about my carelessness.|wǒ tài cū xīn dà yì,  shǐ tā hěn shēng qì.
我们决定把婚礼推迟到明年。|We decided to delay our wedding until next year.|wǒ men jué dìng bǎ hūn lǐ tuī chí dào míng nián。
我等著她回来, 心里越来越不安.|I waited with growing unease for her return.|wǒ děng著 tā huí lai,  xīn lǐ yuè lái yuè bù ān.
他并不以这方面专家自居。|He has no pretensions to being an expert on the subject.|tā bìng bù yǐ zhè fāng miàn zhuān jiā zì jū。
她有典型的金牛座性格.|She is a typical Taurus/Taurean/has a typical Taurean personality.|tā yǒu diǎn xíng de jīn niú zuò xìng gé.
麻醉是一项伟大的医学创新。|Anesthesia was a great innovation in medicine.|má zuì shì yí xiàng wěi dà de yī xué chuàng xīn。
他给他们出主意怎样制止侵略。|He advised them how to stop the invasion.|tā jǐ tā men chū zhǔ yi zěn yàng zhì zhǐ qīn lu:è。
法官劝告他改变生活方式。|The judge advised him to amend his way of living.|fǎ guān quàn gào tā gǎi biàn shēng huó fāng shì。
我将对后果承担全部责任。|I'll bear full responsibility for the consequences.|wǒ jiàng duì hòu guǒ chéng dān quán bù zé rèn。
他居然还活著使她感到惊异.|She was amazed/It amazed her that he was still alive.|tā jū rán huán huó著 shǐ tā gǎn dào jīng yì.
四面八方立即伸出援助之手。|Offers of help are coming in thick and fast.|sì miàn bā fāng lì jí shēn chū yuán zhù zhī shǒu。
医生给她注射以减轻疼痛.|The doctor gave her an injection to alleviate the pain.|yī shēng jǐ tā zhù shè yǐ jiǎn qīng téng tòng.
其它与此相关或相似的一种瓜|Any of several other related or similar melons.|qí tā yù cǐ xiāng guān huò xiāng sì de yī zhòng guā
那条小路就是我们这片地的界线.|The lane is the boundary of our land.|nà tiáo xiǎo lù jiù shì wǒ men zhè piàn de de jiè xiàn.
中国着手进行大规模的改革。|China embark on a massive programme of reform.|Zhōng guó zhū shǒu jìn xíng dà guī mó de gǎi gé。
杂货商有种类繁多的存货。|The grocer's has plenty varieties of goods in stock.|zá huò shāng yǒu zhǒng lèi fán duō de cún huò。
打开窗户，让新鲜的空气进来。|Open the window and let in some fresh air.|dǎ kāi chuāng hu， ràng xīn xiān de kōng qì jìn lái。
